start	end	text
0	8000	The truth about caffeine. How many of you here consider yourself caffeine addicts? How
8000	17000	much coffee do you drink in a day? One cup? Two cups? More? How about caffeinated sodas?
17000	21920	Caffeine is pervasive in our society these days and every few months we hear about how
21920	28480	a study has shown that it is bad for us or good for us. What are we to believe? Today
28480	33840	I'd like to give you some of the facts about caffeine and its effects on your body. I
33840	39040	may not cause you to change your coffee consumption, but at least you'll be better informed about
39040	44680	what you are putting into your body. I'm going to talk about the beneficial effects of caffeine,
44680	51880	the negative effects, and discuss what are considered to be safe levels of caffeine consumption.
51880	57160	Let's start with the good news. Caffeine, which comes from the leaves, seeds and fruits
57160	63400	of about 63 different plants, is well known as a stimulant. That's why people drink it, right?
63400	70120	Caffeine does help you wake up and feel more alert, and it has been shown to increase attention
70120	76280	spans. This is a beneficial effect for people who are driving long distances and for people
76280	82960	who are doing tedious work. Calling this a health benefit may be stretching it, though staying awake
82960	88600	while you are driving a car definitely contributes to your well-being. Caffeine also contains
88600	95200	antioxidants which have been shown to have cancer prevention qualities. The negative effects of
95200	101880	caffeine are largely dependent on how much you consume. When consumed in small quantities,
101880	108640	for example when you have one cup of coffee or one soda, caffeine can increase your heart rate,
108640	115120	cause you to urinate more, which can cause dehydration, and prompt your digestive system
115120	121760	to produce more acid. In larger amounts, caffeine can cause you to have headaches, feel restless
121760	128760	and nervous, be unable to sleep, and even in very large quantities to have hallucinations.
128760	135680	Don't try that at home. When larger amounts of caffeine, over 600 milligrams per day, are
135720	142200	ingested over long periods of time, they can cause sleep problems, depression, and digestion issues.
142200	149240	According to a Medline article on the National Institutes of Health website, having caffeine in
149240	155880	your diet is not of any benefit to your health, but by the same token, moderate consumption is
155880	162200	not considered harmful. They say that having up to three eight ounce cups of coffee a day,
162720	172080	or 250 milligrams of caffeine, is considered, quote, average or moderate. Ten cups of coffee a day is
172080	179120	considered excessive. Also, remember that the amount of caffeine per cup can vary greatly,
179120	186480	depending on the type of beans that are used and the strength of the brew. Most sodas with caffeine,
186480	193120	unless they are specially enhanced, have about 35 milligrams of caffeine per eight ounces.
193760	199840	This means that you don't have to worry too much unless you are drinking several two litre bottles
199840	207200	per day. Also, the effect of the caffeine on you personally will depend on a number of factors,
207200	213600	such as your weight, general health, mood, and personal sensitivity to caffeine.
214400	220400	As you can see, caffeine can have both positive and negative effects on our health and wellbeing.
221040	226560	Nevertheless, the bottom line is that if you drink your coffee or sodas in moderation,
226560	231840	you don't have to worry too much. So the next time you are wondering whether or not you should
231840	238160	have that second cup of coffee to perk you up, relax. At least now you know what it will and
238160	240720	won't do for you.
